symbol,date,p/e,eps (ttm),insider own,shs outstand,market cap,forward p/e,eps next y,insider trans,shs float,perf month,income,peg,eps next q,inst own,short float,perf quarter,sales,p/s,eps this y,inst trans,short ratio,perf half y,book/sh,p/b,eps next y.1,roa,target price,perf year,cash/sh,p/c,eps next 5y,roe,52w range,perf ytd,dividend,p/fcf,eps past 5y,roi,52w high,beta,dividend %,quick ratio,sales past 5y,gross margin,52w low,atr,employees,current ratio,sales q/q,oper. margin,rsi (14),volatility,optionable,debt/eq,eps q/q,profit margin,rel volume,prev close,shortable,lt debt/eq,earnings,payout,cap,size,symbol,name,market cap,country,ipo year,sector,industry
acam,12-18-2020,516.36,0.02,-,38.20M,434.29M,-,-,-,30.56M,11.37%,0.80M,-,-,90.80%,0.99%,10.94%,-,-,-,2.88%,0.35,10.83%,7.87,1.44,-,0.30%,-,15.33%,0.01,1085.73,-,0.30%,9.50 - 11.74,13.71%,-,-,-,-,-4.77%,-,-,7.40,-,-,17.68%,0.25,-,7.40,-,-,72.18,4.90% 2.02%,No,0.00,-115.60%,-,1.92,11.36,Yes,0.00,-,0.00%,small,434290000.0,acam,Acamar Partners Acquisition Corp. Class A Common Stock,424937754.0,United States,2019.0,Consumer Durables,Automotive Aftermarket
acb,12-18-2020,40.65,0.22,0.20%,183.66M,1.61B,-,-,0.00%,160.14M,-24.83%,-,-,-,14.30%,22.82%,88.82%,-,-,-,-,0.94,-28.44%,3.44,2.55,-,-,-,-66.13%,-,-,-,-,3.71 - 27.84,-66.13%,-,-,-,-,-69.77%,-,-,-,-,-,126.82%,0.87,2731,-,-8.00%,-,45.18,7.61% 8.99%,Yes,-,-,-,0.21,8.78,Yes,-,Nov 09 BMO,-,large,1610000000.0,acb,Aurora Cannabis Inc. Common Shares,1567504370.0,,2018.0,Consumer Durables,Specialty Chemicals
acbi,12-18-2020,17.53,0.91,0.60%,21.50M,328.97M,12.03,1.32,4.64%,19.70M,13.25%,19.70M,1.67,0.39,87.30%,1.01%,40.09%,100.60M,3.27,11.60%,-2.29%,2.25,39.35%,15.83,1.00,38.00%,0.70%,17.50,-13.35%,6.78,2.34,10.50%,5.90%,8.89 - 20.21,-13.35%,-,5.20,16.80%,18.70%,-21.23%,0.90,-,-,23.70%,-,79.08%,0.57,202,-,-8.70%,83.50%,57.67,2.93% 3.44%,No,0.22,20.70%,19.60%,0.15,15.9,Yes,0.22,Oct 22 AMC,0.00%,small,328970000.0,acbi,Atlantic Capital Bancshares Inc. Common Stock,331742371.0,United States,,Finance,Major Banks
acc,12-18-2020,82.97,0.51,0.20%,137.63M,5.66B,141.92,0.30,-30.88%,136.69M,5.90%,70.60M,4.71,0.13,-,3.09%,20.70%,893.50M,6.33,-28.40%,2.68%,4.26,15.80%,22.91,1.84,-18.63%,0.90%,44.25,-10.38%,0.33,127.48,17.62%,2.20%,20.13 - 49.01,-10.38%,1.88,72.47,1.50%,3.00%,-13.83%,0.88,4.46%,-,5.10%,51.80%,109.81%,1.15,3096,-,-11.00%,20.90%,51.29,2.95% 2.75%,Yes,1.14,-201.90%,7.90%,0.34,42.15,Yes,1.14,Oct 26 AMC,365.80%,large,5660000000.0,acc,American Campus Communities Inc Common Stock,5836976979.0,United States,2004.0,Consumer Services,Real Estate Investment Trusts
accd,12-18-2020,-,-1.20,1.30%,55.04M,2.65B,-,-0.74,0.00%,35.15M,-11.50%,-49.80M,-,-0.36,45.90%,8.69%,18.19%,146.80M,18.08,9.10%,-,8.19,-,5.82,7.89,60.20%,-37.60%,50.00,-,3.85,11.95,28.80%,33.50%,28.68 - 65.25,54.68%,-,-,-,20.50%,-34.45%,-,-,3.50,-,43.60%,49.13%,4.64,1238,3.50,23.90%,-30.10%,39.02,9.37% 10.29%,Yes,0.00,-45.60%,-33.90%,1.13,45.94,Yes,0.00,Jan 07 AMC,-,large,2650000000.0,accd,Accolade Inc. Common Stock,2520793711.0,United States,2020.0,,
acco,12-18-2020,10.73,0.78,0.40%,94.50M,784.40M,8.19,1.02,-38.66%,91.78M,9.01%,75.70M,1.07,0.28,93.50%,4.50%,43.97%,1.73B,0.45,3.00%,-1.35%,6.83,27.68%,7.67,1.09,55.02%,2.80%,12.00,-10.79%,0.91,9.14,10.00%,10.30%,3.51 - 11.38,-10.79%,0.26,6.92,6.10%,8.80%,-25.48%,2.29,3.11%,1.00,3.00%,30.90%,141.60%,0.32,7000,1.60,-12.20%,8.00%,55.99,3.37% 3.56%,Yes,1.26,-30.50%,4.40%,0.48,8.35,Yes,1.21,Oct 27 AMC,33.00%,small,784400000.0,acco,Acco Brands Corporation Common Stock,792355978.0,United States,,Consumer Durables,Publishing
acel,12-18-2020,-,-0.40,5.50%,78.32M,942.57M,17.18,0.59,-3.34%,50.77M,-2.39%,-29.60M,-,0.17,66.10%,4.81%,-4.86%,530.00M,1.78,-177.70%,26.81%,6.35,8.29%,0.83,12.28,129.84%,-5.90%,14.38,-18.48%,1.79,5.69,21.68%,-18.50%,5.22 - 15.11,-18.48%,-,-,-,1.60%,-32.03%,1.28,-,3.60,-,35.90%,96.74%,0.56,730,3.60,-99.60%,-0.90%,49.15,5.14% 5.52%,Yes,6.14,-488.60%,-5.60%,0.5,10.19,Yes,5.86,Nov 05 BMO,-,small,942570000.0,acel,Accel Entertainment Inc. ,1008415267.0,United States,2017.0,Consumer Services,Services-Misc. Amusement & Recreation
acer,12-18-2020,-,-2.07,16.30%,11.51M,32.44M,-,-1.65,12.73%,9.19M,-0.74%,-21.80M,-,-0.41,37.50%,4.53%,-7.29%,-,-,-17.20%,-1.77%,3.37,-16.56%,0.91,2.93,14.90%,-128.70%,-,-33.42%,0.51,5.23,-,-161.00%,1.08 - 7.25,-33.42%,-,-,42.10%,-,-63.45%,1.70,-,1.60,-,-,145.39%,0.17,17,1.60,-,-,53.29,5.54% 6.97%,Yes,0.00,1.00%,-,0.65,2.67,Yes,0.00,-,-,small,32440000.0,acer,Acer Therapeutics Inc. Common Stock (DE),31265338.0,United States,,Health Care,Major Pharmaceuticals
acet,12-18-2020,-,-12.56,0.40%,5.21M,275.74M,-,-3.38,0.00%,3.26M,14.27%,-56.60M,-,-0.82,47.00%,4.56%,18.50%,12.50M,22.06,-69.50%,282.46%,2.55,-2.29%,22.45,0.63,-1.20%,-36.20%,-,35.09%,5.53,2.55,29.10%,-68.50%,6.02 - 21.70,35.09%,-,-,-,-,-37.14%,-,-,3.60,-,-,126.58%,0.94,18,3.60,-,-,51.19,5.41% 8.19%,Yes,0.00,58.70%,-,0.58,14.09,Yes,0.00,Nov 05 AMC,-,small,275740000.0,acet,Adicet Bio Inc. Common Stock ,270278898.0,United States,2018.0,Health Care,Major Pharmaceuticals
acev,12-18-2020,-,-,-,23.00M,234.60M,-,-,-,-,3.55%,-,-,-,35.71%,-,-,-,-,-,-,1.39,-,-,-,-,-,-,-,-,-,-,-,9.60 - 11.00,4.29%,-,-,-,-,-6.87%,-,-,-,-,-,6.71%,0.23,-,-,-,-,63.60,3.00% 2.43%,No,-,-,-,0.32,10.2,Yes,-,-,-,small,234600000.0,acev,ACE Convergence Acquisition Corp. Class A Ordinary Shares,295550000.0,United States,2020.0,Finance,Business Services
acgl,12-18-2020,12.75,2.79,2.93%,402.85M,14.54B,12.74,2.79,0.00%,394.15M,10.51%,1.15B,2.41,0.47,89.60%,0.93%,21.64%,7.80B,1.86,124.20%,0.63%,1.80,26.39%,28.97,1.23,120.54%,2.90%,39.40,-17.04%,2.39,14.89,5.30%,10.40%,20.93 - 48.32,-17.04%,-,5.19,14.10%,13.10%,-25.86%,0.79,-,-,11.20%,-,71.17%,0.91,4300,-,31.20%,17.90%,62.01,1.90% 2.73%,Yes,0.26,8.00%,14.70%,0.43,35.58,Yes,0.26,Oct 27 AMC,0.00%,large,14540000000.0,acgl,Arch Capital Group Ltd. Common Stock,14393641907.0,Bermuda,,Finance,Property-Casualty Insurers
ach,12-18-2020,-,-0.02,-,680.91M,8.55B,-,-,-,429.49M,-11.91%,-10.70M,-,-,1.60%,0.00%,66.35%,27.41B,0.31,8.10%,2.82%,0.21,85.62%,12.28,0.70,-,0.00%,14.51,-0.46%,2.01,4.31,-,-0.10%,4.60 - 9.95,-0.46%,-,16.12,15.20%,3.70%,-12.87%,1.75,-,0.50,6.00%,5.80%,88.48%,0.33,63935,0.70,2.10%,2.80%,52.82,1.05% 1.43%,Yes,1.85,-113.00%,0.00%,0.63,8.65,Yes,1.10,-,-,large,8550000000.000002,ach,Aluminum Corporation of China Limited American Depositary Shares,5910272048.0,China,2001.0,Basic Industries,Aluminum
achc,12-18-2020,44.43,1.13,0.10%,87.91M,4.45B,18.45,2.73,0.00%,87.15M,18.49%,100.30M,3.50,0.70,-,7.05%,70.62%,3.15B,1.41,161.50%,-2.56%,10.62,97.33%,29.65,1.70,16.69%,1.50%,44.85,51.41%,3.83,13.14,12.71%,4.00%,11.09 - 50.99,51.41%,-,7.60,-3.80%,5.20%,-2.63%,1.47,-,1.20,25.30%,-,347.70%,1.46,28400,1.30,7.20%,9.10%,67.57,2.49% 3.33%,Yes,1.22,-14.10%,3.20%,0.65,50.3,Yes,1.18,Oct 29 AMC,0.00%,large,4450000000.0,achc,Acadia Healthcare Company Inc. Common Stock,4441553387.0,United States,,Health Care,Medical Specialities
achv,12-18-2020,-,-8.76,0.48%,6.09M,47.81M,-,-5.30,0.00%,3.40M,-4.87%,-13.20M,-,-1.28,9.40%,14.63%,-2.03%,-,-,45.00%,0.37%,2.41,2.78%,7.81,1.05,9.40%,-64.50%,-,-22.63%,-,-,-,-72.10%,4.51 - 18.26,-22.63%,-,-,-,-,-55.91%,1.73,-,13.00,-,-,78.30%,0.49,14,13.00,-,-,49.78,6.34% 5.63%,No,0.00,87.40%,-,0.39,8.2,Yes,0.00,Nov 12 AMC,-,small,47810000.0,achv,Achieve Life Sciences Inc. Common Shares,48904017.0,United States,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
aci,12-18-2020,7.85,2.15,15.40%,477.30M,7.86B,9.86,1.71,0.05%,221.06M,5.12%,993.30M,0.50,0.42,54.00%,8.88%,21.66%,68.05B,0.12,201.00%,-3.54%,7.10,6.92%,3.15,5.35,-38.48%,3.90%,20.47,-,5.12,3.29,15.75%,53.80%,12.91 - 17.57,9.06%,0.40,3.78,16.90%,10.90%,-0.51%,-,2.37%,0.50,18.10%,29.00%,35.40%,0.48,270000,1.10,11.20%,2.90%,75.58,3.86% 3.02%,Yes,5.85,-54.00%,1.50%,0.8,16.85,Yes,5.63,Oct 20 BMO,0.00%,large,7860000000.0,aci,Albertsons Companies Inc. Class A Common Stock,7888575482.0,United States,2020.0,Consumer Services,Food Chains
acia,12-18-2020,45.71,1.60,0.20%,42.06M,3.07B,24.86,2.93,-11.11%,38.82M,4.62%,68.80M,-,0.77,92.90%,7.14%,8.16%,548.00M,5.60,559.20%,0.49%,4.56,8.43%,15.72,4.64,6.81%,9.00%,70.00,7.51%,10.82,6.74,-12.00%,11.10%,60.62 - 72.95,7.51%,-,40.14,73.90%,3.90%,-0.15%,0.76,-,4.30,26.00%,48.40%,20.16%,0.5,429,4.60,32.50%,10.60%,82.64,0.80% 0.69%,Yes,0.00,58.70%,12.60%,0.57,72.9,Yes,0.00,-,0.00%,large,3070000000.0,acia,Acacia Communications Inc. Common Stock,3062182313.0,United States,2016.0,Technology,Semiconductors
acic,12-18-2020,-,-,-,50.00M,510.00M,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9.73 - 11.82,2.31%,-,-,-,-,-13.96%,-,-,-,-,-,4.52%,0.5,-,-,-,-,-,5.87% -,No,-,-,-,1.29,10.2,Yes,-,-,-,small,510000000.0,acic,Atlas Crest Investment Corp. Class A Common Stock,660313688.0,United States,2020.0,Finance,Business Services
aciu,12-18-2020,-,-0.97,46.99%,71.93M,368.13M,-,-0.77,0.00%,37.91M,-7.40%,-69.70M,-,-0.32,29.40%,3.38%,5.12%,17.90M,20.57,177.60%,1.84%,4.10,-25.11%,3.65,1.41,21.60%,-22.10%,-,-39.79%,3.87,1.33,-,-24.20%,4.07 - 13.00,-39.79%,-,-,26.30%,16.20%,-60.54%,0.83,-,18.10,29.70%,-,26.04%,0.24,115,18.10,-96.70%,-,44.89,3.79% 4.72%,Yes,0.01,-204.80%,-,0.28,5.13,Yes,0.01,-,-,small,368130000.0,aciu,AC Immune SA Common Stock,371978563.0,Switzerland,2016.0,Health Care,Major Pharmaceuticals
aciw,12-18-2020,75.32,0.51,0.90%,116.56M,4.43B,45.07,0.85,-7.82%,114.18M,18.14%,61.00M,6.28,0.33,-,3.87%,47.30%,1.31B,3.39,19.00%,0.22%,4.20,42.56%,9.63,4.00,125.93%,1.90%,42.86,1.60%,1.16,33.14,12.00%,5.50%,20.03 - 39.99,1.60%,-,19.94,-0.50%,4.70%,-3.75%,1.25,-,1.50,4.40%,50.70%,92.16%,1.07,4018,1.50,-11.00%,11.10%,61.73,2.07% 3.07%,Yes,1.13,-49.90%,4.70%,0.36,38.49,Yes,1.10,Nov 05 BMO,0.00%,large,4430000000.0,aciw,ACI Worldwide Inc. Common Stock,4510497943.0,United States,,Technology,Computer Software: Prepackaged Software
acls,12-18-2020,21.93,1.32,0.50%,33.48M,958.86M,18.39,1.58,-23.29%,32.85M,7.60%,45.00M,1.10,0.21,86.30%,2.06%,31.95%,460.10M,2.08,-63.80%,0.56%,2.62,6.85%,13.76,2.11,26.93%,7.90%,35.17,20.48%,6.42,4.52,20.00%,10.30%,12.99 - 31.50,20.48%,-,17.15,26.50%,4.30%,-7.79%,1.42,-,4.00,11.10%,41.30%,123.60%,0.76,960,6.30,58.80%,12.40%,58.16,2.57% 2.60%,Yes,0.10,1432.00%,9.80%,0.51,29.03,Yes,0.10,Nov 05 AMC,0.00%,small,958860000.0,acls,Axcelis Technologies Inc. Common Stock,965689853.0,United States,2000.0,Technology,Industrial Machinery/Components
acm,12-18-2020,46.63,1.06,0.70%,160.02M,7.44B,16.08,3.08,-2.01%,149.07M,-4.66%,170.50M,3.51,0.57,94.30%,1.89%,18.24%,13.24B,0.56,-19.60%,-1.56%,1.85,36.32%,20.58,2.40,15.73%,-1.40%,58.22,14.70%,-,-,13.30%,-5.20%,21.76 - 53.21,14.70%,-,34.61,24.90%,6.30%,-6.16%,1.62,-,1.20,-5.90%,5.40%,129.46%,1.13,54000,1.20,1.60%,2.90%,57.31,1.58% 2.27%,Yes,0.63,-100.10%,-1.40%,0.32,49.47,Yes,0.62,Nov 16 BMO,-,large,7440000000.0,acm,AECOM Common Stock,7440193086.0,United States,2007.0,Consumer Services,Military/Government/Technical
acmr,12-18-2020,120.60,0.67,2.50%,18.05M,1.50B,50.53,1.60,-46.76%,11.66M,-2.20%,14.20M,6.03,0.25,39.00%,9.21%,16.93%,135.70M,11.03,169.00%,0.50%,3.87,33.22%,4.98,16.22,54.34%,8.60%,-,337.94%,4.66,17.33,20.00%,19.90%,15.95 - 113.87,337.94%,-,97.22,-,16.50%,-29.19%,-,-,1.60,-,46.00%,405.52%,5.13,361,2.10,34.50%,12.30%,57.46,9.56% 6.33%,Yes,0.29,-101.90%,13.80%,1.07,80.8,Yes,0.00,Nov 05 AMC,0.00%,large,1500000000.0,acmr,ACM Research Inc. Class A Common Stock,1513882911.0,United States,2017.0,Technology,Industrial Machinery/Components
acn,12-18-2020,31.57,8.16,0.10%,634.27M,170.36B,28.42,9.06,-13.97%,633.26M,3.39%,5.25B,3.18,1.89,74.40%,0.67%,13.96%,44.73B,3.81,7.30%,0.01%,2.27,20.01%,28.23,9.12,10.18%,14.60%,279.56,22.31%,13.12,19.63,9.93%,31.60%,137.15 - 271.18,22.31%,3.52,26.83,10.60%,28.90%,-4.69%,1.08,1.37%,1.50,6.10%,31.80%,88.45%,4.83,506000,1.50,3.50%,14.80%,59.59,1.24% 1.55%,Yes,0.00,11.00%,11.70%,0.33,257.54,Yes,0.00,Dec 17 BMO,39.70%,large,170360000000.0,acn,Accenture plc Class A Ordinary Shares (Ireland),170682000000.0,Ireland,2001.0,Miscellaneous,Business Services
acnb,12-18-2020,12.44,2.02,2.70%,8.70M,220.82M,-,-,4.56%,8.39M,0.96%,16.40M,-,-,23.60%,0.94%,20.91%,81.30M,2.72,8.70%,-4.25%,5.80,-0.44%,29.53,0.85,-,0.70%,-,-33.50%,34.51,0.73,-,6.90%,19.00 - 37.87,-33.50%,1.00,15.33,14.40%,28.10%,-33.61%,0.11,3.98%,-,13.10%,-,32.32%,1.03,374,-,20.30%,74.50%,46.10,2.75% 3.81%,No,0.00,-12.80%,20.20%,0.29,25.15,Yes,0.00,-,49.50%,small,220820000.0,acnb,ACNB Corporation Common Stock,220106786.0,United States,,Finance,Major Banks
acor,12-18-2020,0.77,0.92,1.50%,47.71M,35.30M,-,-2.30,0.00%,47.15M,6.32%,49.10M,0.03,-0.52,50.90%,5.54%,37.86%,165.30M,0.21,6.40%,-15.76%,0.52,-1.39%,6.57,0.11,-42.90%,6.60%,-,-65.20%,1.27,0.56,29.00%,16.10%,0.42 - 2.77,-65.20%,-,-,16.45%,-48.20%,-72.92%,0.75,-,0.90,-13.70%,81.00%,77.56%,0.06,344,1.10,11.30%,42.30%,51.07,7.53% 10.04%,Yes,0.73,100.80%,29.70%,3.25,0.71,Yes,0.52,Nov 03 AMC,0.00%,small,35300000.0,acor,Acorda Therapeutics Inc. Common Stock,40122928.0,United States,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
acp,12-18-2020,-,-,0.06%,17.43M,188.62M,-,-,0.00%,-,4.54%,-,-,-,17.49%,-,9.07%,-,-,-,-,0.40,18.25%,-,-,-,-,-,-5.99%,-,-,-,-,5.30 - 12.24,-5.99%,1.20,-,-,-,-12.33%,-,11.09%,-,-,-,102.47%,0.17,-,-,-,-,55.65,1.08% 1.68%,No,-,-,-,1.48,10.82,Yes,-,-,-,small,188620000.0,acp,Aberdeen Income Credit Strategies Fund Common Shares,188615279.0,United States,2011.0,,
acre,12-18-2020,22.09,0.53,9.52%,33.34M,392.64M,8.88,1.32,0.00%,30.33M,5.12%,17.10M,-,0.34,57.20%,1.63%,28.12%,138.60M,2.83,-4.80%,-4.35%,1.73,33.98%,14.08,0.83,1.54%,0.90%,12.05,-26.07%,2.42,4.83,-1.81%,3.70%,2.78 - 17.72,-26.07%,1.32,-,10.20%,2.10%,-33.07%,1.36,11.27%,-,14.50%,53.20%,326.62%,0.46,1200,-,-2.30%,12.70%,51.31,3.42% 3.61%,Yes,3.11,42.20%,12.30%,0.42,11.71,Yes,3.11,Oct 29 BMO,245.80%,small,392640000.0,acre,Ares Commercial Real Estate Corporation Common Stock,388595308.0,United States,2012.0,Consumer Services,Real Estate Investment Trusts
acrs,12-18-2020,-,-1.36,3.70%,42.80M,283.00M,-,-0.85,0.00%,36.88M,98.20%,-57.00M,-,-0.27,63.90%,1.31%,157.59%,6.00M,47.17,-10.10%,-9.62%,0.69,301.21%,0.95,6.97,26.70%,-64.10%,5.83,250.26%,1.25,5.30,-,-103.50%,0.70 - 7.95,250.26%,-,-,-57.10%,-158.70%,-19.25%,1.09,-,-,-,18.70%,817.14%,0.66,77,4.50,40.00%,-,65.60,14.14% 13.44%,Yes,0.27,55.50%,-,0.27,6.62,Yes,0.26,Nov 04 BMO,-,small,283000000.0,acrs,Aclaris Therapeutics Inc. Common Stock,292494968.0,United States,2015.0,Health Care,Major Pharmaceuticals
acrx,12-18-2020,-,-0.56,2.11%,90.48M,127.36M,-,-0.24,0.00%,88.61M,-16.67%,-45.90M,-,-0.10,22.80%,8.75%,-11.97%,5.20M,24.49,16.70%,24.30%,5.09,5.93%,-0.66,-,50.00%,-60.70%,-,-40.76%,0.42,2.96,-,85.50%,0.70 - 2.18,-40.76%,-,-,2.60%,340.90%,-43.35%,1.20,-,2.80,-15.20%,-23.20%,76.08%,0.09,25,2.90,133.30%,-,39.61,9.18% 6.92%,Yes,-,36.60%,-,0.89,1.25,Yes,-,Nov 05 AMC,-,small,127360000.0,acrx,AcelRx Pharmaceuticals Inc. Common Stock,109477912.0,United States,2011.0,Health Care,Major Pharmaceuticals
acst,12-18-2020,-,-0.07,8.64%,96.89M,34.64M,-,-0.35,0.00%,93.53M,23.28%,-,-,-0.16,1.66%,0.54%,78.57%,-,-,30.30%,-,0.03,-31.54%,0.09,3.89,34.00%,-,-,-85.41%,-,-,-,-,0.17 - 2.54,-85.41%,-,-,-,-,-87.20%,-,-,-,-,-,90.06%,0.06,32,-,-,-,54.71,32.39% 16.20%,No,-,-,-,1.91,0.36,No,-,-,-,small,34640000.0,acst,Acasti Pharma Inc. Class A Common Stock,30627731.0,Canada,,Health Care,Major Pharmaceuticals
actg,12-18-2020,17.58,0.23,1.90%,48.47M,197.07M,11.40,0.35,1.59%,46.31M,8.13%,25.20M,0.88,-0.01,67.40%,2.10%,14.99%,26.10M,7.55,83.30%,0.73%,3.72,-1.48%,4.14,0.96,225.00%,4.00%,6.00,50.00%,6.14,0.65,20.00%,7.30%,1.75 - 4.46,50.00%,-,65.69,23.90%,-17.20%,-11.40%,0.81,-,2.60,-38.80%,73.00%,125.81%,0.21,17,2.60,1037.70%,-63.90%,56.77,5.19% 5.10%,Yes,0.57,320.60%,48.50%,0.46,3.99,Yes,0.00,Nov 09 BMO,0.00%,small,197070000.0,actg,Acacia Research Corporation (Acacia Tech) Common Stock,194023062.0,United States,,Miscellaneous,Multi-Sector Companies
acu,12-18-2020,15.29,2.02,1.10%,3.34M,99.43M,13.54,2.28,0.00%,2.92M,-6.76%,7.00M,1.53,0.28,65.90%,0.03%,34.10%,157.00M,0.63,23.00%,0.28%,0.05,36.46%,18.14,1.70,12.87%,6.00%,31.25,29.80%,0.93,33.14,10.00%,12.20%,17.10 - 35.49,29.80%,0.52,19.89,3.30%,8.00%,-14.90%,1.07,1.68%,1.60,5.80%,36.20%,76.61%,1.69,441,3.60,17.00%,6.30%,48.90,5.87% 5.49%,No,0.62,50.20%,4.50%,1.02,30.88,Yes,0.61,Oct 21 BMO,22.80%,small,99430000.0,acu,Acme United Corporation. Common Stock,106344379.0,United States,1988.0,Capital Goods,Industrial Machinery/Components
acv,12-18-2020,-,-,-,10.35M,339.40M,-,-,-,-,10.64%,-,-,-,27.39%,-,30.86%,-,-,-,-,0.55,42.01%,-,-,-,-,36.93,34.79%,-,-,3.20%,-,11.38 - 33.34,34.79%,2.00,-,-3.05%,-,-2.08%,-,6.10%,-,-,-,186.95%,0.56,-,-,-,-,69.64,1.60% 1.77%,No,-,-,-,1.3,32.78,Yes,-,-,-,small,339400000.0,acv,AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest,338883802.0,United States,2015.0,,
acy,12-18-2020,-,-22.52,29.15%,1.55M,9.45M,-,-,0.00%,1.10M,220.09%,-34.80M,-,-,4.30%,0.47%,244.22%,17.50M,0.54,-93.30%,5.32%,0.01,158.78%,-2.35,-,-,-26.30%,-,52.56%,3.55,1.93,-,-414.20%,0.71 - 38.04,52.22%,-,1.58,-8.00%,-12.40%,-68.93%,2.49,-,-,11.20%,-,1560.97%,3.03,9,-,-85.40%,-,68.78,139.53% 42.84%,No,-,50.40%,-,38.68,6.85,Yes,-,-,-,small,9450000.0,acy,AeroCentury Corp. Common Stock,12660790.0,United States,,Technology,Diversified Commercial Services
adap,12-18-2020,-,-0.96,0.20%,154.67M,880.64M,-,-0.93,19.71%,11.25M,7.98%,-122.80M,-,-0.23,84.30%,25.11%,-32.21%,3.20M,275.20,-33.20%,1.34%,1.62,-45.85%,2.43,2.23,-4.50%,-33.70%,-,350.83%,2.46,2.20,1.00%,-44.90%,1.15 - 13.40,350.83%,-,-,-46.40%,-113.30%,-60.33%,2.41,-,12.20,-30.30%,-,362.30%,0.39,400,12.20,500.00%,-,58.42,8.28% 8.23%,Yes,0.00,38.70%,-,0.58,5.41,Yes,0.00,Nov 05 BMO,-,small,880640000.0,adap,Adaptimmune Therapeutics plc American Depositary Shares,832709750.0,United Kingdom,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
adbe,12-18-2020,45.88,10.84,0.31%,480.00M,237.23B,37.59,13.23,-7.30%,477.60M,3.97%,5.26B,2.75,2.79,86.30%,1.03%,1.43%,12.87B,18.44,7.80%,-0.47%,1.99,13.11%,24.40,20.39,17.78%,17.20%,557.39,50.83%,11.04,45.07,16.67%,33.90%,255.13 - 536.88,50.83%,-,53.50,62.70%,20.60%,-7.55%,0.97,-,1.40,21.90%,86.60%,94.55%,9.86,22634,1.40,13.80%,29.30%,55.06,1.51% 2.09%,Yes,0.35,22.00%,28.80%,0.38,497.45,Yes,0.35,Dec 09 AMC,0.00%,large,237230000000.0,adbe,Adobe Inc. Common Stock,239111000000.0,United States,1986.0,Technology,Computer Software: Prepackaged Software
adc,12-18-2020,35.50,1.85,0.80%,55.37M,3.62B,37.49,1.75,3.96%,54.14M,-0.46%,90.00M,-,0.39,-,12.83%,3.08%,229.30M,15.77,8.40%,-0.06%,13.28,-3.17%,42.13,1.56,0.40%,2.90%,76.65,-6.51%,0.27,245.98,-0.90%,4.60%,45.23 - 80.51,-6.51%,2.48,-,9.50%,3.90%,-18.82%,0.26,3.78%,-,28.50%,87.90%,44.51%,1.59,41,-,32.60%,51.50%,49.76,2.08% 2.40%,Yes,0.51,-19.80%,39.30%,0.2,65.6,Yes,0.51,Oct 19 AMC,157.40%,large,3620000000.0,adc,Agree Realty Corporation Common Stock,3626769388.0,United States,,Consumer Services,Real Estate Investment Trusts
adct,12-18-2020,-,-,48.05%,76.72M,2.42B,-,-2.55,0.00%,39.85M,-14.34%,-,-,-0.38,36.90%,6.90%,-3.12%,0.00M,-,5.40%,30.47%,11.44,-34.47%,4.90,6.52,23.40%,-,48.75,-,6.53,4.89,-14.80%,-,25.10 - 56.59,7.79%,-,-,-,-103.30%,-43.15%,-,-,15.60,-,-,28.14%,2.27,179,15.60,-,-,42.72,6.92% 6.77%,Yes,0.11,61.10%,-,0.93,31.96,Yes,0.10,Nov 12 BMO,-,large,2420000000.0,adct,ADC Therapeutics SA Common Shares,2507932603.0,,2020.0,Health Care,Major Pharmaceuticals
ades,12-18-2020,-,-0.64,0.80%,18.09M,102.53M,-,-,0.00%,17.94M,0.71%,-11.40M,-,-,62.30%,4.76%,40.15%,59.30M,1.73,11.70%,-1.25%,2.58,16.84%,4.66,1.22,-,-14.50%,-,-45.81%,0.83,6.84,50.00%,-24.20%,3.52 - 12.63,-45.81%,-,2.73,99.20%,-17.50%,-55.86%,0.93,-,1.10,32.90%,24.00%,58.41%,0.3,133,1.40,2.10%,-86.30%,50.99,6.32% 4.78%,No,0.35,28.60%,-38.20%,0.1,5.69,Yes,0.07,Nov 09 AMC,-,small,102530000.0,ades,Advanced Emissions Solutions Inc. Common Stock,103682688.0,United States,,Basic Industries,Major Chemicals
adi,12-18-2020,44.54,3.28,0.32%,369.28M,53.54B,23.08,6.33,-10.81%,368.31M,5.10%,1.22B,3.88,1.31,94.60%,7.63%,25.22%,5.60B,9.56,-10.00%,7.75%,10.22,21.44%,32.49,4.50,11.42%,5.70%,155.64,23.01%,2.88,50.71,11.47%,10.40%,79.07 - 147.48,23.01%,2.48,55.97,8.30%,8.20%,-0.43%,1.30,1.70%,1.40,10.30%,65.90%,85.70%,2.73,15900,1.80,5.80%,26.70%,64.56,1.62% 1.79%,Yes,0.43,39.50%,21.80%,0.32,146.18,Yes,0.43,Nov 24 BMO,72.50%,large,53540000000.0,adi,Analog Devices Inc. Common Stock,53959574650.0,United States,,Technology,Semiconductors
